date,time_utc,callsign,ant1_snr_db,ant2_snr_db,delta_db,band,mode,scoring_mode,antenna_winner
2026-04-24,09:33:43,CT7ATA,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,13:00:58,UA0LHS,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,14:46:28,R4HGK,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,14:48:13,EX8ABR,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,14:57:28,R4CHN,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,14:58:58,IW7ED,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,15:02:58,UA3LKM,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,17:44:28,SV1MOZ,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,17:56:13,R6DYT,-25,-23,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,17:56:13,9A2AA,-25,-22,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,17:59:43,EX7CQ,-25,-21,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,18:08:28,EU1EU,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,18:48:58,RA0ZIH,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:34:13,F6BIA,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:35:58,BI1AFK,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:37:28,A71AH,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:38:58,EA1IWI,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:42:58,IK1RQX,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:44:43,UA1OCF,-24,-18,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:44:58,IK1RQX,-24,-21,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,19:53:13,EA1CMP,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:07:58,BI1AFK,-25,-21,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:14:28,A71AH,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:17:43,PP5GP,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:19:13,D2UY,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:28:13,R9LM,-25,-22,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:32:43,7Z1DS,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:33:58,EA8TL,-24,-15,9.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:37:43,R9LM,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:37:58,JE4USZ,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:40:43,TA3ZZ,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:50:58,KD2RUY,-25,-15,10.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:51:43,IK1RQX,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:52:58,PD0MBU,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:57:43,PP5GP,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:58:28,DL3MIB,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,20:58:58,BD4MMM,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:14:13,WA0DYJ,-24,-21,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:24:13,KD3ACB,-24,-21,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:25:43,VE4ZIM,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:40:58,W2JC,-25,-21,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:42:43,D2UY,-25,-23,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:54:28,K2KDX,-25,-17,8.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:55:13,D2UY,-25,-22,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,21:55:28,A71AH,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:06:28,OK1DOL,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:07:13,D2UY,-25,-22,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:08:28,W2YQN,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:09:43,KC1WCH,-25,-22,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:19:28,K8WDX,-25,-23,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:23:28,WA1DD,-25,-17,8.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:23:28,KC1UVP,-25,-22,3.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:27:58,8Q7PR,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:28:43,KS0CW,-24,-18,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:31:43,AI7HE,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:40:13,KQ4JSA,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:40:28,VE3VEE,-24,-18,6.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:42:28,9N2RK,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:44:28,KJ2AM,-25,-21,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,22:52:43,KO1U,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:02:28,N4ZSA,-24,-16,8.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:07:58,K7DCC,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:10:13,KA8YGL,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:16:28,K4SYT,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:26:13,N8NZM,-24,-16,8.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:38:58,K8SJM,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:51:13,AC5AV,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:59:13,N8PFK,-25,-21,4.0,20m,FT8,Diversity_Dx,A2
2026-04-25,23:59:28,K1JXM,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-26,00:14:28,KD2YCK,-25,-21,4.0,20m,FT8,Diversity_Dx,A2
2026-04-26,00:19:28,A61CK,-24,-18,6.0,20m,FT8,Diversity_Dx,A2
2026-04-26,00:31:43,WQ1I,-25,-16,9.0,20m,FT8,Diversity_Dx,A2
2026-04-26,01:14:28,KX8X,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-26,01:15:28,PP5RG,-25,-21,4.0,20m,FT8,Diversity_Dx,A2
2026-04-26,01:16:28,A71QQ,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-26,01:18:28,WD8OQS,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-26,01:22:13,WD9HSY,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-26,02:03:28,A61CK,-24,-21,3.0,20m,FT8,Diversity_Dx,A2
2026-04-26,03:15:13,R9FDE,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-26,03:45:13,RA4HG,-25,-22,3.0,20m,FT8,Diversity_Dx,A2
2026-04-26,03:46:28,A71XX,-25,-18,7.0,20m,FT8,Diversity_Dx,A2
2026-04-26,04:01:28,R6TJ,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-26,04:30:28,RA9W,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-26,04:34:58,<...>,-24,-17,7.0,20m,FT8,Diversity_Dx,A2
2026-04-26,04:38:58,<...>,-25,-18,7.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:12:28,UR4LRG,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:20:13,RA4ADF,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:24:43,R55KLS,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:26:43,JY5IB,-25,-16,9.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:33:58,RD7LC,-25,-19,6.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:36:43,R7HC,-25,-20,5.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:37:13,RX3AJM,-24,-22,2.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:38:58,UA9XL,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-26,05:44:13,TY5AD,-24,-23,1.0,20m,FT8,Diversity_Dx,A2
2026-04-26,07:19:13,<SX100PAOK>,-24,-19,5.0,20m,FT8,Diversity_Dx,A2
2026-04-26,09:15:13,DD1JD,-24,-20,4.0,20m,FT8,Diversity_Dx,A2
2026-04-26,09:16:43,US5WDP,-25,-18,7.0,20m,FT8,Diversity_Dx,A2
